Date,Conservative,Cautious,Balanced ,Growth ,Aggressive,Dollar Fund,Oil Prices,Inflation,NSE ASI,FX Reserves,USD/NGN (BDC),USD/NGN (I&E),91-Day Yield,182-Day Yield,364-Day Yield,2yr-Bond Yield,3yr-Bond Yield,5-yr-Bond Yield,7yr-Bond Yield,10yr-Bond Yield,12yr-Bond Yield,15yr-Bond Yield,20yr-Bond Yield
2016-08-01,0.006094,0.006144,0.006818,0.001271,-0.003348,0.004852,0.116279,0.028021,-0.018451,-0.021486,0.108179,-0.000411,-0.144559,0.065137,-0.038713,-0.015576,-0.008658,-0.009696,-0.005546,0.003889,0.006601,0.004253,0.021366
2016-09-01,0.006465,0.006769,0.008510,0.012421,0.015328,-0.005583,0.079428,0.013629,0.023498,-0.048954,0.104762,-0.005394,0.198045,0.037808,0.025632,0.015591,-0.006491,0.008606,-0.005931,-0.001758,-0.003335,-0.012731,0.004257
2016-10-01,0.009586,0.010439,0.013325,0.000668,-0.010161,-0.023464,-0.050894,0.026891,-0.036745,-0.004900,0.010776,-0.009017,-0.083238,-0.007155,-0.006176,0.001582,0.003304,-0.005534,-0.002473,0.010906,0.013938,0.008898,0.011791
2016-11-01,0.009658,0.010662,0.013955,-0.007839,-0.026188,-0.001278,0.048400,0.008183,-0.072985,0.058732,-0.147122,0.000820,-0.092190,0.015501,-0.008508,0.022661,0.058065,0.059536,0.059003,0.041342,0.047030,0.047998,0.038328
2016-12-01,0.012277,0.012762,0.014409,0.025005,0.033346,0.010227,0.053393,0.003788,0.064694,0.076127,0.225000,0.000000,-0.071505,-0.005172,0.009224,-0.175099,0.013640,-0.002291,-0.011969,-0.007181,-0.008141,-0.025293,0.010970
2017-01-01,0.012708,0.012691,0.014306,0.003572,-0.005393,0.002298,0.004146,0.009164,-0.024463,0.059369,0.014286,-0.000820,0.052194,-0.034646,0.002268,0.021482,0.026454,0.022865,0.026655,0.026264,0.024699,0.017079,0.031992
2017-02-01,0.011963,0.012251,0.013217,-0.000941,-0.012649,0.010429,-0.021303,-0.050214,-0.025458,0.048871,-0.094567,0.000656,0.036170,0.029650,0.001834,-0.010029,-0.019564,-0.013047,0.005900,-0.011216,-0.008069,0.007391,-0.012595
2017-03-01,0.013762,0.013876,0.014240,0.018581,0.022052,0.011718,-0.062633,-0.029246,0.008083,0.000201,-0.144444,0.003116,0.275723,0.082623,0.011261,-0.015773,-0.025055,-0.023280,-0.039033,-0.027954,-0.028038,-0.017946,-0.045891
2017-04-01,0.013035,0.013072,0.013301,0.015665,0.017554,0.228680,-0.026167,-0.001159,0.009275,0.025100,0.012987,0.226175,-0.022667,-0.005908,-0.020935,0.023612,0.022696,0.024515,0.021347,0.019480,0.012748,0.010318,0.021367
2017-05-01,0.014088,0.014398,0.015536,0.057318,0.091164,0.021382,-0.023486,-0.057425,0.136366,-0.030486,-0.035897,0.012596,0.019417,0.001486,-0.013649,0.019268,0.016279,0.010815,0.002350,0.014467,0.011903,0.016369,-0.007539
2017-06-01,0.014044,0.014129,0.014384,0.042469,0.065306,-0.047074,-0.053526,-0.009231,0.127856,0.017749,-0.026596,-0.049459,0.120482,0.013360,0.018006,0.001798,0.002725,-0.006772,-0.006493,-0.009110,-0.005920,-0.005516,-0.003154
2017-07-01,0.014184,0.013788,0.012518,0.034904,0.053373,0.025135,0.059783,-0.003106,0.113150,0.018391,-0.010929,0.017793,-0.027138,-0.035156,0.035828,0.008024,0.005120,0.005860,0.024011,0.008637,0.012922,0.013939,0.020844
2017-08-01,0.014514,0.014567,0.014620,0.012332,0.010454,-0.003852,0.011587,-0.002492,-0.006099,0.012298,0.005525,-0.007468,-0.001053,-0.011145,-0.033728,0.007248,0.018147,0.011191,0.017105,0.028581,0.025868,0.019295,0.029449
2017-09-01,0.014406,0.014397,0.014449,0.009165,0.004854,0.012738,0.090806,-0.001874,-0.002121,0.060129,0.001374,0.001293,0.007907,-0.057889,-0.107434,-0.047844,-0.051738,-0.029835,-0.031800,-0.050745,-0.035278,-0.033620,-0.051202
2017-10-01,0.014301,0.014348,0.014305,0.019896,0.024451,0.004134,0.093550,-0.004380,0.029467,0.035370,-0.006859,0.000986,-0.081067,0.041871,-0.075165,-0.044860,-0.037844,-0.070450,-0.064171,-0.055612,-0.067975,-0.069629,-0.074042
2017-11-01,0.013674,0.013651,0.013477,0.013872,0.014221,0.002321,0.050918,-0.000629,0.028051,0.112878,0.002762,0.000028,-0.099094,0.009524,0.006108,-0.037786,-0.042215,-0.014773,-0.014839,-0.015833,-0.025436,-0.014107,-0.024428
2017-12-01,0.013720,0.013459,0.012335,0.011474,0.010963,0.013533,0.049270,-0.033333,0.001216,0.029981,0.000000,0.001388,-0.290383,-0.207547,-0.028698,-0.019165,-0.007143,-0.033444,-0.056080,-0.044843,-0.030795,-0.041763,-0.054319
2018-01-01,0.012959,0.013780,0.015721,0.053069,0.083120,0.009941,0.037254,-0.015615,0.163443,0.045658,0.000000,-0.001303,0.207263,-0.048942,-0.112500,-0.055038,-0.096803,-0.046522,-0.034928,-0.047986,-0.049292,-0.043284,-0.026426
2018-02-01,0.011368,0.011594,0.012660,-0.003123,-0.016161,0.001046,-0.055564,-0.052875,-0.046097,0.100274,-0.002755,0.000916,0.074484,0.080668,-0.020330,0.023097,0.035548,0.024302,0.020324,0.015209,0.012249,0.005074,0.014251
2018-03-01,0.012093,0.012017,0.012042,-0.006550,-0.021692,0.005311,0.100893,-0.069086,-0.058353,0.032113,0.000000,-0.000361,-0.021390,-0.045074,0.002651,-0.012865,0.002673,-0.008635,-0.012375,-0.009593,-0.007520,-0.002447,-0.002191
2018-04-01,0.011084,0.011260,0.011729,0.014766,0.017151,-0.006066,0.111325,-0.064468,-0.006244,0.015144,0.000000,0.001250,-0.247951,-0.223871,-0.124256,-0.109166,-0.058696,-0.047451,-0.042435,-0.038084,-0.037934,-0.037572,-0.030676
2018-05-01,0.010837,0.011016,0.011890,-0.009431,-0.026950,0.009382,0.060987,-0.069712,-0.064508,-0.010861,0.001381,0.002940,0.065395,0.052997,0.058113,0.031583,0.041578,0.041092,0.035431,0.029088,0.028059,0.025575,0.040683
2018-06-01,0.009967,0.010335,0.010487,0.007053,0.004183,-0.004116,0.034510,-0.032730,-0.009739,0.005006,-0.005517,-0.000719,0.078793,0.078383,-0.031139,0.046157,0.027777,0.013479,0.031487,0.046241,0.046385,0.046733,0.038966
2018-07-01,0.009847,0.009883,0.010205,-0.004736,-0.016960,-0.000355,-0.039457,-0.008014,-0.034807,-0.028494,-0.004161,0.001522,-0.149961,-0.068095,-0.070855,0.026823,-0.018561,0.026800,0.017836,0.011927,0.012544,0.014025,0.018765
2018-08-01,0.009627,0.008853,0.009835,-0.014285,-0.033966,0.004686,0.069485,0.008079,-0.052167,-0.026354,0.000000,0.000276,0.076357,0.150912,0.144346,0.018334,0.039135,0.063447,0.059772,0.052881,0.050604,0.045158,0.048334
2018-09-01,0.009075,0.009002,0.008113,-0.008650,-0.022177,0.007798,0.058477,0.004452,-0.059747,-0.044788,0.002786,0.003698,0.076923,0.005764,0.052558,0.032363,0.058293,0.019574,0.039167,0.022165,0.030703,0.032933,0.035061
2018-10-01,0.009366,0.009125,0.008333,0.007804,0.007516,-0.002214,-0.111909,-0.001773,0.012254,-0.045946,0.004861,0.000330,0.001587,-0.055874,0.109188,0.037513,0.033748,0.006331,0.006602,0.014484,0.010294,0.013249,-0.012914
2018-11-01,0.008600,0.008248,0.007831,-0.008281,-0.021303,-0.002342,-0.194540,0.001776,-0.057128,0.066345,0.014513,0.001760,0.042823,-0.012518,0.029091,0.002553,-0.005871,-0.001231,0.013343,0.023944,0.006271,0.000037,0.013768
